"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"proc-qa-002-layered-process-audit.html","../05-Processes/11-PROC-QA/proc-qa-002-layered-process-audit.html","2","frm-902-layered-process-audit-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","0.75","layered process audit"
"proc-cnc-001-cnc-machining-execution.html","../../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.75","cnc cnc machining"
"proc-cnc-001-cnc-machining-execution.html","../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.75","cnc cnc machining"
"proc-qa-004-final-inspection-coc-release.html","../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","2","frm-642-final-inspection-and-coc-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-642-final-inspection-and-coc-register.html","0.75","final inspection coc"
"frm-whs-007-packaging-checklist.html","../../../07-Forms-Records/14-FRM-WHS/frm-whs-007-packaging-checklist.html","2","frm-707-packaging-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-707-packaging-checklist.html","0.667","packaging checklist"
"frm-whs-007-packaging-checklist.html","../../../07-Forms-Records/14-FRM-WHS/frm-whs-007-packaging-checklist.html","2","frm-709-clean-packaging-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-709-clean-packaging-checklist.html","0.667","packaging checklist"
"annex-dep-hse-001-hse.html","../02-Department-Handbooks/annex-dep-hse-001-hse.html","2","training-matrix-hse.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-hse.html","0.667","hse hse"
"frm-qms-003-management-review-minutes.html","../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","2","sop-902-management-review.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-902-management-review.html","0.667","management review"
"frm-whs-004-part-label.html","../../../07-Forms-Records/14-FRM-WHS/frm-whs-004-part-label.html","2","frm-704-part-id-label.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-704-part-id-label.html","0.667","part label"
"sop-qms-002-quality-policy-objectives.html","../../../04-SOPs/sop-qms-002-quality-policy-objectives.html","2","pol-qms-001-quality-policy.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html","0.667","quality policy"
"sop-qms-023-competence-training-awareness.html","../04-SOPs/sop-qms-023-competence-training-awareness.html","2","sop-801-competence-training-and-certification.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-801-competence-training-and-certification.html","0.667","competence training"
